language,signal,candidate,freq_in_true_group,freq_in_false_group,lift
ara,endfiller_trailing_word,لكن,12,0,909.09
ara,endfiller_trailing_word,يعني,10,0,757.58
ara,endfiller_trailing_word,لأن,5,0,378.79
ara,endfiller_trailing_word,بس,5,0,378.79
ara,endfiller_trailing_word,و,3,0,227.27
ara,midfiller_word_frequency,طيب,15,1,16.54
ara,midfiller_word_frequency,يعني,31,8,5.67
ara,midfiller_word_frequency,العالمية,7,2,4.49
ara,midfiller_word_frequency,لم,7,3,3.17
ben,endfiller_trailing_word,কারণ,19,0,1338.03
ben,endfiller_trailing_word,আর,15,0,1056.34
ben,endfiller_trailing_word,তো,9,0,633.8
ben,endfiller_trailing_word,কিন্তু,7,0,492.96
ben,endfiller_trailing_word,কেননা,6,0,422.54
ben,endfiller_trailing_word,আচ্ছা,3,0,211.27
ben,endfiller_trailing_word,ইয়ে,3,0,211.27
ben,midfiller_word_frequency,শূন্য,7,0,32.71
ben,endfiller_trailing_word,মানে,11,1,24.89
ben,midfiller_word_frequency,মানে,51,8,10.76
ben,endfiller_trailing_word,না,13,3,10.02
ben,midfiller_word_frequency,আচ্ছা,13,2,9.66
ben,midfiller_word_frequency,তো,25,5,8.22
ben,midfiller_word_frequency,শতাংশ,6,2,4.46
ben,midfiller_word_frequency,ইয়ে,7,3,3.66
ben,midfiller_word_frequency,তা,7,3,3.66
dan,endfiller_trailing_word,fordi,16,0,1355.93
dan,endfiller_trailing_word,men,13,0,1101.69
dan,endfiller_trailing_word,ligesom,11,0,932.2
dan,endfiller_trailing_word,altså,7,0,593.22
dan,endfiller_trailing_word,så,5,0,423.73
dan,midfiller_word_frequency,består,7,1,8.1
dan,midfiller_word_frequency,ligesom,35,11,4.8
dan,midfiller_word_frequency,bruges,7,2,4.64
deu,endfiller_trailing_word,also,34,0,1404.96
deu,endfiller_trailing_word,aber,33,0,1363.64
deu,endfiller_trailing_word,weil,27,0,1115.7
deu,endfiller_trailing_word,äh,7,0,289.26
deu,endfiller_trailing_word,ähm,4,0,165.29
deu,endfiller_trailing_word,auch,4,0,165.29
deu,endfiller_trailing_word,und,34,6,10.92
fin,endfiller_trailing_word,mutta,14,0,1000.0
fin,endfiller_trailing_word,siis,14,0,1000.0
fin,endfiller_trailing_word,koska,11,0,785.71
fin,endfiller_trailing_word,niin,10,0,714.29
fin,endfiller_trailing_word,että,9,0,642.86
fin,endfiller_trailing_word,no,8,0,571.43
fin,endfiller_trailing_word,tuota,11,1,24.95
fin,endfiller_trailing_word,kuin,9,1,20.42
fin,endfiller_trailing_word,ja,17,2,19.59
fin,midfiller_word_frequency,paljon,6,1,6.57
fin,midfiller_word_frequency,niinku,6,1,6.57
fin,midfiller_word_frequency,tuota,32,7,6.23
fin,midfiller_word_frequency,no,23,5,6.17
fin,midfiller_word_frequency,että,32,8,5.48
fin,midfiller_word_frequency,siis,29,9,4.43
fin,midfiller_word_frequency,vuotta,5,2,3.09
fin,midfiller_word_frequency,muun,5,2,3.09
fra,endfiller_trailing_word,donc,31,0,1313.56
fra,endfiller_trailing_word,mais,23,0,974.58
fra,endfiller_trailing_word,que,22,0,932.2
fra,endfiller_trailing_word,alors,21,0,889.83
fra,endfiller_trailing_word,ben,6,0,254.24
fra,endfiller_trailing_word,et,25,1,45.03
fra,midfiller_word_frequency,ben,25,3,4.39
hin,endfiller_trailing_word,लेकिन,53,0,2172.13
hin,endfiller_trailing_word,क्योंकि,34,0,1393.44
hin,endfiller_trailing_word,तो,23,0,942.62
hin,endfiller_trailing_word,हूँ,4,0,163.93
hin,endfiller_trailing_word,अच्छा,4,0,163.93
hin,endfiller_trailing_word,आ,3,0,122.95
hin,midfiller_word_frequency,अच्छा,66,0,93.98
hin,endfiller_trailing_word,और,34,2,31.59
ind,endfiller_trailing_word,anu,11,0,774.65
ind,endfiller_trailing_word,kan,8,0,563.38
ind,endfiller_trailing_word,karena,7,0,492.96
ind,endfiller_trailing_word,sih,6,0,422.54
ind,endfiller_trailing_word,tapi,6,0,422.54
ind,endfiller_trailing_word,soalnya,5,0,352.11
ind,endfiller_trailing_word,terus,5,0,352.11
ind,endfiller_trailing_word,gitu,4,0,281.69
ind,endfiller_trailing_word,e,4,0,281.69
ind,endfiller_trailing_word,ya,4,0,281.69
ind,endfiller_trailing_word,jadi,9,1,20.6
ind,midfiller_word_frequency,gitu,15,4,5.7
ind,midfiller_word_frequency,ya,21,8,4.21
ind,midfiller_word_frequency,anu,28,11,4.14
ind,midfiller_word_frequency,beberapa,12,5,3.73
ita,endfiller_trailing_word,ma,24,0,1428.57
ita,endfiller_trailing_word,perché,23,0,1369.05
ita,endfiller_trailing_word,però,14,0,833.33
ita,endfiller_trailing_word,allora,12,0,714.29
ita,endfiller_trailing_word,della,3,0,178.57
ita,endfiller_trailing_word,e,19,1,28.23
kor,endfiller_trailing_word,하지만,36,0,1935.48
kor,endfiller_trailing_word,그래서,25,0,1344.09
kor,endfiller_trailing_word,그런데,24,0,1290.32
kor,endfiller_trailing_word,왜냐하면,21,0,1129.03
kor,midfiller_word_frequency,해당한다,9,0,44.58
kor,midfiller_word_frequency,그레고리력으로,10,2,6.4
kor,midfiller_word_frequency,날에,10,2,6.4
kor,midfiller_word_frequency,다른,8,2,5.12
kor,midfiller_word_frequency,또한,5,2,3.2
mar,endfiller_trailing_word,कारण,12,0,1052.63
mar,endfiller_trailing_word,म्हणजे,12,0,1052.63
mar,endfiller_trailing_word,आणि,10,0,877.19
mar,endfiller_trailing_word,पण,8,0,701.75
mar,endfiller_trailing_word,मग,8,0,701.75
mar,endfiller_trailing_word,अ,4,0,350.88
mar,endfiller_trailing_word,काय,3,0,263.16
